State ,Districts,District Population,State Population,Dist Area,State Area,Density,Sex ratio,Literacy rate State,Crime rate 2018,Crime rate 2019,Crime rate 2020,Crime rate 2021,Overall Crime rate,Total Crime ,MURDER,ATTEMPT TO MURDER,RAPE,OTHER RAPE,Kidnapping,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,CRUELTY BY HUSBAND OR HIS RELATIVES, IPC CRIMES
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,954000,53156000,12251,162975,78,993,133,278,279,453,420,1430,750758,81,80,88,88,164,2,14,240,373,104,269,56,25,216,3,35,2172,7,498,1079
ANDHRA PRADESH,ANAKAPALLI,1727000,53156000,4292,162975,402,993,133,278,279,453,420,1430,750758,173,123,18,18,148,14,6,211,581,155,426,41,12,168,3,24,2018,19,130,1043
ANDHRA PRADESH,ANANTHAPURAMU,2241100,53156000,10205,162975,220,993,133,278,279,453,420,1430,750758,91,75,28,28,112,3,10,136,501,208,293,32,9,217,4,27,622,33,339,1398
ANDHRA PRADESH,ANNAMAYYA,1697300,53156000,7954,162975,213,993,133,278,279,453,420,1430,750758,118,96,26,26,152,4,9,136,513,154,359,114,76,332,1,6,2355,13,120,1360
ANDHRA PRADESH,BAPATLA,1587000,53156000,3829,162975,414,993,133,278,279,453,420,1430,750758,198,113,75,75,316,14,86,1101,4461,1887,2574,28,168,1762,8,48,4013,45,976,3155
ANDHRA PRADESH,CHITTOOR,1873000,53156000,6855,162975,273,993,133,278,279,453,420,1430,750758,70,94,71,71,108,1,16,345,861,281,580,31,82,204,16,38,2222,17,536,1317
ANDHRA PRADESH,DR. B.R. AMBEDKAR KONASEEMA,1719100,53156000,2083,162975,825,993,133,278,279,453,420,1430,750758,7,1,1,1,3,1,3,1,268,1,268,1,1,1,13,1,11,1,2,24
ANDHRA PRADESH,EAST GODAVARI,1832300,53156000,2561,162975,715,993,133,278,279,453,420,1430,750758,96,68,23,23,126,1,6,146,708,176,532,31,25,261,25,33,2309,21,656,2103
ANDHRA PRADESH,ELURU,2071700,53156000,6679,162975,310,993,133,278,279,453,420,1430,750758,56,53,24,24,84,2,29,155,904,409,495,11,16,294,7,15,1072,9,687,912
ANDHRA PRADESH,GUNTUR,2091000,53156000,2443,162975,856,993,133,278,279,453,420,1430,750758,102,166,74,74,176,12,57,647,3694,1370,2324,354,71,2131,25,101,3381,23,1339,2932
ANDHRA PRADESH,KAKINADA,2092300,53156000,3019,162975,693,993,133,278,279,453,420,1430,750758,128,112,40,40,282,4,25,326,860,228,632,112,65,678,3,63,2636,46,759,1952
ANDHRA PRADESH,KRISHNA,1735000,53156000,3775,162975,460,993,133,278,279,453,420,1430,750758,130,110,78,78,146,5,14,284,528,157,371,150,22,251,9,33,1956,13,231,1195
ANDHRA PRADESH,KURNOOL,2271700,53156000,7980,162975,285,993,133,278,279,453,420,1430,750758,78,53,67,67,134,2,9,263,673,139,534,26,54,218,7,52,2601,16,791,1168
ANDHRA PRADESH,NANDYAL,1781800,53156000,9682,162975,184,993,133,278,279,453,420,1430,750758,111,143,22,22,116,3,18,246,518,4,514,71,13,329,5,34,2382,15,166,1594
ANDHRA PRADESH,NELLORE,2469700,53156000,10441,162975,236,993,133,278,279,453,420,1430,750758,182,90,56,56,152,3,16,235,961,9,952,58,24,189,4,38,1870,27,204,1442
ANDHRA PRADESH,NTR,2218000,53156000,3316,162975,669,993,133,278,279,453,420,1430,750758,113,43,26,26,108,6,17,409,693,158,535,130,21,324,2,52,1674,20,475,1198
ANDHRA PRADESH,PALNADU,2042000,53156000,7298,162975,280,993,133,278,279,453,420,1430,750758,86,88,52,52,178,9,20,323,802,191,611,115,44,400,5,70,2995,20,302,2198
ANDHRA PRADESH,PARVATHIPURAM MANYAM,925300,53156000,3659,162975,253,993,133,278,279,453,420,1430,750758,94,86,23,23,180,5,42,292,833,255,578,22,107,163,5,45,2550,9,405,1240
ANDHRA PRADESH,PRAKASAM,2288000,53156000,14322,162975,160,993,133,278,279,453,420,1430,750758,113,48,35,35,76,4,15,345,613,178,435,66,33,297,3,47,1332,19,596,1280
ANDHRA PRADESH,SRIKAKULAM,2191471,53156000,4591,162975,477,993,133,278,279,453,420,1430,750758,108,117,37,37,168,2,27,258,674,230,444,41,68,362,9,19,2523,16,263,1311
ANDHRA PRADESH,SRI SATHYA SAI,1840000,53156000,8925,162975,206,993,133,278,279,453,420,1430,750758,23,25,13,13,18,1,7,120,337,99,238,1,34,93,1,5,734,3,183,280
ANDHRA PRADESH,TIRUPATI,2197000,53156000,8231,162975,242,993,133,278,279,453,420,1430,750758,72,27,27,27,44,5,11,148,175,33,142,22,5,79,1,26,600,16,152,423
ANDHRA PRADESH,VISAKHAPATNAM,1959500,53156000,1048,162975,1870,993,133,278,279,453,420,1430,750758,4,1,2,2,3,1,3,1,787,1,787,1,1,4,13,1,9,1,1,80
ANDHRA PRADESH,VIZIANAGARAM,1930800,53156000,4122,162975,468,993,133,278,279,453,420,1430,750758,35,40,39,39,37,1,9,112,179,7,172,9,14,107,1,21,1511,3,312,949
ANDHRA PRADESH,WEST GODAVARI,1780000,53156000,2178,162975,817,993,133,278,279,453,420,1430,750758,37,29,12,12,50,1,13,188,630,197,433,22,7,172,2,6,672,6,96,461
ANDHRA PRADESH,YSR KADAPA,2060700,53156000,11228,162975,184,993,133,278,279,453,420,1430,750758,42,56,47,47,132,1,60,221,1385,567,818,16,123,416,6,33,1961,16,1136,1084
ARUNACHAL PRADESH,ANJAW,21089,1562000,6190,83743,3,938,133,189,191,165,198,742,11236,7,1,1,1,7,3,4,1,597,1,597,1,1,1,50,1,18,1,1,34
ARUNACHAL PRADESH,CHANGLANG,147951,1562000,4662,83743,32,938,133,189,191,165,198,742,11236,67,29,27,27,44,1,3,120,224,76,148,52,16,84,4,13,992,9,134,510
ARUNACHAL PRADESH,EAST KAMENG,78413,1562000,4134,83743,19,938,133,189,191,165,198,742,11236,44,27,50,50,54,14,27,366,1062,301,761,12,68,252,6,10,1207,11,412,601
