State ,Population,Area,Literacy rate,Literacy rate male,Literacy rate female
ANDHRA PRADESH,53156000,162975,133,73,60
ARUNACHAL PRADESH,1562000,83743,133,74,60
ASSAM,35713000,78438,171,90,81
BIHAR,126756000,94163,140,80,61
CHHATTISGARH,30180000,135192,172,91,81
GOA,1575000,3702,175,93,82
GUJARAT,71507000,196024,164,90,75
HARYANA,30209000,44212,159,88,71
HIMACHAL PRADESH,7468000,55673,173,93,81
JHARKHAND,39466000,79716,148,83,65
KARNATAKA,67692000,191791,154,83,71
KERALA,35776000,38863,193,97,95
MADHYA PRADESH,86579000,308252,147,81,66
MAHARASHTRA,126385000,307713,169,91,78
MANIPUR,3223000,22327,160,86,73
MEGHALAYA,3349000,22429,151,77,74
MIZORAM,1238000,21081,183,94,89
NAGALAND,2233000,16579,160,83,77
NAGALAND,2233000,16579,161,84,77
ODISHA,46276000,155707,154,84,70
PUNJAB,30730000,50362,167,89,79
RAJASTHAN,81025000,342239,138,81,58
SIKKIM,689000,7096,164,87,76
TAMIL NADU,76860000,130058,166,88,78
TELANGANA,38090000,112077,146,81,65
TRIPURA,4147000,10491,175,92,83
UTTAR PRADESH,235687000,240928,145,82,63
UTTARAKHAND,11637000,53483,175,94,81
WEST BENGAL,99084000,90000,161,85,76
A & N ISLANDS,403000,8249,172,90,82
CHANDIGARH,1231000,114,172,91,81
D & N HAVELI,1263000,603,152,86,66
JAMMU & KASHMIR,13603000,42241,154,86,68
LADHAKH,300000,59146,164,88,75
LAKSHADWEEP,69000,32,184,96,88
DELHI,21359000,1484,176,94,82
PUNDUCHERRY,1646000,479,173,92,81
