State ,State_Area km_square,Population_of_State,State_Literacy_rate,Total_Crime ,Crime_rate_2018,Crime_rate_2019,Crime_rate_2020,Crime_rate_2021
ANDHRA PRADESH,162975,53156000,133,750758,278,279,453,420
ARUNACHAL PRADESH,83743,1562000,133,11236,189,191,165,198
ASSAM,78438,35713000,171,508203,354,386,350,379
BIHAR,94163,126756000,140,282148,222,224,211,228
CHHATTISGARH,135192,30180000,172,408600,345,335,353,374
GOA,3702,1575000,175,14968,253,242,281,192
GUJARAT,196024,71507000,164,2255617,584,632,1011,1044
HARYANA,44212,30209000,159,756391,673,577,659,697
HIMACHAL PRADESH,55673,7468000,173,78981,270,272,280,254
JHARKHAND,79716,39466000,148,242205,150,166,167,157
KARNATAKA,191791,67692000,154,640884,250,248,226,244
KERALA,38863,35776000,193,1544934,1288,1288,1568,1477
MADHYA PRADESH,308252,86579000,147,1704712,497,479,511,561
MAHARASHTRA,307713,126385000,169,2104920,425,416,436,434
MANIPUR,22327,3223000,160,13632,123,118,95,101
MEGHALAYA,22429,3349000,151,13632,109,121,115,104
MEGHALAYA,22429,3349000,151,14551,109,121,115,104
MIZORAM,21081,1238000,183,10716,199,241,190,262
NAGALAND,16579,2233000,160,6425,83,77,69,67
NAGALAND,16579,2233000,161,6425,83,77,69,67
ODISHA,155707,46276000,154,518583,247,278,295,339
PUNJAB,50362,30730000,167,299629,237,243,275,242
RAJASTHAN,342239,81025000,138,1099887,327,392,331,358
SIKKIM,7096,689000,164,3093,132,124,100,107
TAMIL NADU,130058,76860000,166,3088716,662,600,1809,990
TELANGANA,112077,38090000,146,564425,343,352,393,421
TRIPURA,10491,4147000,175,21507,153,150,115,117
UTTAR PRADESH,240928,235687000,145,2479742,262,278,287,262
UTTARAKHAND,53483,11637000,175,155190,314,253,507,305
WEST BENGAL,90000,99084000,161,740300,195,194,187,185
A & N ISLANDS,8249,403000,172,11607,153,150,115,117
CHANDIGARH,114,1231000,172,16734,153,150,115,117
D & N HAVELI,603,1263000,152,2421,222,224,211,228
JAMMU & KASHMIR,42241,13603000,154,113270,237,243,275,242
LADHAKH,59146,300000,164,962,222,224,211,228
LAKSHADWEEP,32,69000,184,534,222,224,211,228
DELHI,1484,21359000,176,1151332,237,243,275,242
PUNDUCHERRY,479,1646000,173,21213,132,124,100,107
